Q05086,Ubiquitin-protein ligase E3A,Homo sapiens,IPR032353|IPR042556|IPR044611|IPR000569|IPR035983|IPR017134,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q05086-2,Isoform I of Ubiquitin-protein ligase E3A,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.jmb.2018.01.021|imex:IM-26302|pubmed:29426014
Q05513,Protein kinase C zeta type,Homo sapiens,IPR000961|IPR034662|IPR046349|IPR047314|IPR020454|IPR011009|IPR053793|IPR034877|IPR000270|IPR012233|IPR002219|IPR017892|IPR000719|IPR017441|IPR008271,doi:10.1016/j.molcel.2020.07.001|imex:IM-29257|pubmed:32707033
Q06787,Fragile X messenger ribonucleoprotein 1,Homo sapiens,IPR008395|IPR040148|IPR022034|IPR032196|IPR040472|IPR004087|IPR004088|IPR036612|IPR047438|IPR047440|IPR047431|IPR047436|IPR041560,imex:IM-26801|pubmed:31413325
Q08460,Calcium-activated potassium channel subunit alpha-1,Mus musculus,IPR005821|IPR003929|IPR047871|IPR036291|IPR003148|IPR048735,imex:IM-9475|pubmed:19423573
Q09289,Proteasomal ubiquitin receptor ADRM1 homolog,Caenorhabditis elegans,IPR044867|IPR006773|IPR044868|IPR038633|IPR032368|IPR038108,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
Q12866,Tyrosine-protein kinase Mer,Homo sapiens,IPR003961|IPR036116|IPR007110|IPR036179|IPR013783|IPR003599|IPR013151|IPR011009|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635,imex:IM-29494|pubmed:35384245
Q13113,PDZK1-interacting protein 1,Homo sapiens,IPR031627,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
Q13200,26S proteasome non-ATPase regulatory subunit 2,Homo sapiens,IPR016643|IPR011989|IPR016024|IPR002015|IPR041433|IPR040892,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
Q13618,Cullin-3,Homo sapiens,IPR045093|IPR059120|IPR016157|IPR016158|IPR036317|IPR001373|IPR019559|IPR016159|IPR036388|IPR036390,imex:IM-29810|pubmed:37207277
Q14164,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,Homo sapiens,IPR051180|IPR011009|IPR000719|IPR017441|IPR041309|IPR041087,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:17353931|pubmed:32814053
Q14558-2,Isoform 2 of Phosphoribosyl pyrophosphate synthase-associated protein 1,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30146|pubmed:37316325
Q14CW9,Ataxin-7-like protein 3,Homo sapiens,IPR013246|IPR013243|IPR051078,imex:IM-11827|mint:MINT-5218676|pubmed:16713569
Q15008,26S proteasome non-ATPase regulatory subunit 6,Homo sapiens,IPR000717|IPR019585|IPR045135|IPR049549|IPR011990|IPR036390,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
Q15051,IQ calmodulin-binding motif-containing protein 1,Homo sapiens,IPR016024|IPR000048|IPR028765|IPR027417,imex:IM-16529|pubmed:21565611
Q15554-4,Isoform 2 of Telomeric repeat-binding factor 2,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
Q15843,Ubiquitin-like protein NEDD8,Homo sapiens,IPR038738|IPR000626|IPR029071|IPR019954|IPR019956|IPR050158,doi:10.1016/j.celrep.2020.108050|imex:IM-16517|imex:IM-28217|mint:MINT-5217955|pubmed:16169070|pubmed:32814053
